timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,159.11,159.2098,157.679,158.42,158.42,7031,0.0,1.0
2021-01-28,160.03,160.14,158.369,158.39,158.39,8101,0.0,1.0
2021-01-27,158.39,159.6613,158.3147,159.19,159.19,8588,0.0,1.0
2021-01-26,159.88,159.9858,158.37,158.45,158.45,3833,0.0,1.0
2021-01-25,157.9,159.45,157.9,159.405,159.405,8370,0.0,1.0
2021-01-22,158.52,159.05,158.35,158.74,158.74,4558,0.0,1.0
2021-01-21,158.46,158.46,157.53,157.85,157.85,1200,0.0,1.0
2021-01-20,158.59,159.06,157.97,158.83,158.83,4135,0.0,1.0
2021-01-19,159.12,159.26,158.88,159.15,159.15,14840,0.0,1.0
2021-01-18,159.98,160.21,159.52,159.6,159.6,6186,0.0,1.0
2021-01-15,158.52,159.601,158.31,159.37,159.37,11212,0.0,1.0
2021-01-14,158.27,158.97,158.21,158.21,158.21,2509,0.0,1.0
2021-01-13,157.93,158.86,157.8564,158.775,158.775,2114,0.0,1.0
2021-01-12,159.16,159.25,157.97,158.03,158.03,9392,0.0,1.0
2021-01-11,160.46,160.68,160.17,160.17,160.045,92151,0.0,1.0
2021-01-08,159.78,159.78,158.8758,159.325,159.325,7695,0.0,1.0
2021-01-07,159.76,160.41,159.5287,159.94,159.94,3918,0.0,1.0
2021-01-06,159.49,160.92,159.2587,160.05,160.05,11354,0.0,1.0
2021-01-05,161.62,161.8164,160.8721,160.91,160.91,7370,0.0,1.0
2021-01-04,160.03,161.7098,159.9936,161.395,161.395,6857,0.0,1.0
2020-12-31,160.63,160.7064,160.4176,160.615,160.615,2599,0.0,1.0
2020-12-30,161.86,161.86,160.7736,161.2,161.2,3076,0.0,1.0
2020-12-29,162.06,162.61,161.97,162.18,162.18,4203,0.0,1.0
2020-12-24,161.29,161.3658,160.8131,161.17,161.17,1853,0.0,1.0
2020-12-23,163.28,163.47,161.39,161.855,161.855,17516,0.0,1.0
2020-12-22,163.37,164.47,162.95,164.28,164.28,19930,0.0,1.0
2020-12-21,165.09,166.0,164.24,164.255,164.255,24061,0.0,1.0
2020-12-18,162.13,162.601,161.6402,162.3,162.3,9315,0.0,1.0
2020-12-17,161.35,161.7076,160.9,161.2,161.2,15727,0.0,1.0
2020-12-16,162.56,162.6221,161.6068,162.485,162.485,14324,0.0,1.0
2020-12-15,164.85,165.2479,163.16,163.23,163.23,16210,0.0,1.0
2020-12-14,164.04,164.85,163.14,164.8,164.8,23124,0.0,1.0
2020-12-11,165.77,167.1121,164.9997,166.275,166.275,8962,0.0,1.0
2020-12-10,164.49,165.1244,164.2058,164.755,164.755,9775,0.0,1.0
2020-12-09,163.41,163.6,162.5,163.45,163.45,19032,0.0,1.0
2020-12-08,164.31,164.9887,163.58,164.105,164.105,8287,0.0,1.0
2020-12-07,163.69,165.3621,163.57,163.855,163.855,8837,0.0,1.0
2020-12-04,162.95,163.14,161.2621,161.8,161.8,17971,0.0,1.0
