timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,5.485,5.485,5.445,5.452000000000001,5.452000000000001,684939,0.0,1.0
2021-01-28,5.4479999999999995,5.455,5.44,5.4485,5.4485,296091,0.0,1.0
2021-01-27,5.4510000000000005,5.456,5.445,5.4510000000000005,5.4510000000000005,469974,0.0,1.0
2021-01-26,5.452000000000001,5.456,5.442,5.446000000000001,5.446000000000001,475247,0.0,1.0
2021-01-25,5.4479999999999995,5.457999999999999,5.447,5.455,5.455,375227,0.0,1.0
2021-01-22,5.457999999999999,5.4716,5.4216,5.443,5.443,995197,0.0,1.0
2021-01-21,5.437,5.4425,5.4239999999999995,5.4355,5.4355,617056,0.0,1.0
2021-01-20,5.428999999999999,5.4369,5.42,5.426,5.426,587862,0.0,1.0
2021-01-19,5.417999999999999,5.422999999999999,5.4061,5.422000000000001,5.422000000000001,546900,0.0,1.0
2021-01-18,5.416,5.4247,5.4029,5.417000000000001,5.417000000000001,305548,0.0,1.0
2021-01-15,5.412000000000001,5.4169,5.399,5.4110000000000005,5.4110000000000005,749257,0.0,1.0
2021-01-14,5.409,5.4121,5.3975,5.4075,5.4075,1466764,0.0,1.0
2021-01-13,5.4,5.4046,5.3895,5.4005,5.4005,527507,0.0,1.0
2021-01-12,5.39,5.3946,5.374,5.381,5.381,471322,0.0,1.0
2021-01-11,5.398,5.4044,5.3715,5.3755,5.3755,265357,0.0,1.0
2021-01-08,5.4110000000000005,5.4298,5.4045,5.4045,5.4035,422626,0.0,1.0
2021-01-07,5.405,5.4277,5.405,5.4145,5.4145,426127,0.0,1.0
2021-01-06,5.428999999999999,5.442,5.4125,5.4270000000000005,5.4270000000000005,382180,0.0,1.0
2021-01-05,5.4479999999999995,5.4506,5.4329,5.4365,5.4365,271096,0.0,1.0
2021-01-04,5.443,5.4461,5.4226,5.4335,5.4335,283587,0.0,1.0
2020-12-31,5.4270000000000005,5.4306,5.412000000000001,5.4225,5.4225,208039,0.0,1.0
2020-12-30,5.42,5.426,5.4074,5.4165,5.4165,207075,0.0,1.0
2020-12-29,5.422000000000001,5.4286,5.41,5.419,5.419,146584,0.0,1.0
2020-12-24,5.42,5.4245,5.4105,5.421,5.421,193580,0.0,1.0
2020-12-23,5.416,5.4239999999999995,5.399,5.406000000000001,5.406000000000001,468135,0.0,1.0
2020-12-22,5.41,5.417999999999999,5.397,5.412999999999999,5.412999999999999,273709,0.0,1.0
2020-12-21,5.425,5.4270000000000005,5.41,5.415,5.415,353120,0.0,1.0
2020-12-18,5.42,5.422999999999999,5.4110000000000005,5.412999999999999,5.412999999999999,298899,0.0,1.0
2020-12-17,5.416,5.4314,5.4,5.422999999999999,5.422999999999999,344102,0.0,1.0
2020-12-16,5.4079999999999995,5.4174,5.398,5.409,5.409,570450,0.0,1.0
