timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,19.892,19.9588,19.7248,19.766,19.766,223050,0.0,1.0
2021-01-28,19.908,20.045,19.756,19.916,19.916,77237,0.0,1.0
2021-01-27,19.73,19.928,19.715999999999998,19.928,19.928,82422,0.0,1.0
2021-01-26,19.836,19.8644,19.668,19.842,19.842,87276,0.0,1.0
2021-01-25,19.54,19.81,19.5333,19.779,19.779,152371,0.0,1.0
2021-01-22,19.52,19.6353,19.3987,19.58,19.58,261125,0.0,1.0
2021-01-21,19.592,19.674,19.4379,19.467,19.467,110922,0.0,1.0
2021-01-20,19.78,19.81,19.522000000000002,19.522000000000002,19.52,205034,0.0,1.0
2021-01-19,19.84,19.8834,19.746,19.798,19.798,273729,0.0,1.0
2021-01-18,19.964000000000002,19.968,19.745,19.827,19.827,315236,0.0,1.0
2021-01-15,19.854,19.97,19.7437,19.808,19.808,167481,0.0,1.0
2021-01-14,19.634,19.968,19.634,19.91,19.91,98712,0.0,1.0
2021-01-13,19.704,19.8264,19.5551,19.796,19.796,154723,0.0,1.0
2021-01-12,19.522000000000002,19.58,19.434,19.58,19.58,421461,0.0,1.0
2021-01-11,19.682000000000002,19.7728,19.558,19.601,19.601,213389,0.0,1.0
2021-01-08,19.708,19.7279,19.5972,19.687,19.687,136235,0.0,1.0
2021-01-07,19.9,19.912,19.59,19.602999999999998,19.602999999999998,238159,0.0,1.0
2021-01-06,19.904,19.992,19.7532,19.797,19.797,135868,0.0,1.0
2021-01-05,20.35,20.515,20.03,20.06,20.06,107674,0.0,1.0
2021-01-04,20.265,20.52,20.265,20.3675,20.3675,90681,0.0,1.0
2020-12-31,20.255,20.4243,20.24,20.355,20.355,41133,0.0,1.0
2020-12-30,20.2,20.33,20.144000000000002,20.25,20.25,71761,0.0,1.0
2020-12-29,20.09,20.3357,20.09,20.3075,20.3075,69193,0.0,1.0
2020-12-24,19.906,20.175,19.906,20.16,20.16,98322,0.0,1.0
2020-12-23,20.735,20.735,19.9632,19.999000000000002,19.999000000000002,198125,0.0,1.0
2020-12-22,20.55,20.641,20.355,20.5975,20.5975,133171,0.0,1.0
2020-12-21,20.58,20.7283,20.485,20.5575,20.5575,132616,0.0,1.0
2020-12-18,20.045,20.4,20.045,20.3375,20.3375,103486,0.0,1.0
2020-12-17,20.29,20.4597,20.1859,20.25,20.25,77702,0.0,1.0
2020-12-16,20.135,20.31,20.0126,20.2875,20.2875,181602,0.0,1.0
2020-12-15,20.565,20.5682,20.1713,20.31,20.31,103903,0.0,1.0
2020-12-14,20.56,20.56,20.25,20.4475,20.4475,55845,0.0,1.0
2020-12-11,20.48,20.8,20.46,20.6225,20.6225,120409,0.0,1.0
2020-12-10,20.55,20.721,20.4165,20.5725,20.5725,155572,0.0,1.0
2020-12-09,20.36,20.545,20.3555,20.42,20.42,75503,0.0,1.0
2020-12-08,20.4,20.5312,20.1423,20.5175,20.5175,115431,0.0,1.0
2020-12-07,20.14,20.3025,19.965999999999998,20.2925,20.2925,80977,0.0,1.0
2020-12-04,19.986,20.0505,19.8182,20.017,20.017,91391,0.0,1.0
2020-12-03,20.06,20.1203,19.9128,19.958,19.958,135964,0.0,1.0
2020-12-02,20.04,20.3305,19.9853,20.03,20.03,85146,0.0,1.0
