sgln,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/sgln.csv
ssln,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/ssln.csv
vusa,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vusa.csv
eqqq,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/eqqq.csv
isp6,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/isp6.csv
veve,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/veve.csv
veur,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/veur.csv
vjpn,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vjpn.csv
isjp,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/isjp.csv
vapx,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vapx.csv
iwdp,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/iwdp.csv
agbp,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/agbp.csv
shyu,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/shyu.csv
lqds,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/lqds.csv
vusc,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vusc.csv
vemt,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vemt.csv
vety,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vety.csv
ibtm,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/ibtm.csv
ibts,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/ibts.csv
itpg,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/itpg.csv
vgov,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/vgov.csv
slxx,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/slxx.csv
inxg,https://storage.googleapis.com/emilio-public-bucket/etf_data/uk/inxg.csv
